,comments,label
330,삼페 최고근데 아이폰을 안써봐서 비교는 못하겠네요,
331,저는 카메라가 화면이랑 키보드 사이에 있는것도 단점같아요ㅠㅠㅠㅠ요즘 줌쓰면서 몸소 느낍니다...,
332,"아 안돼 이러지마ㅠㅠ s20 건너뛰었단 말이에요ㅠㅠ s8이나 s10때가 좋았는데,,,ㅠㅠ",
333,2222 카드는 들고 다니는 거 좋아해서(?) 통화녹음 ㅈㅂㅈㅂ!!!,
334,지금 가는 중!,
335,갤럭시에서 잘 쓰는 기능들 아이폰엔 없어서 너무 불편함 덕질은 갤럭시... 그리고 as 어려움 사진도 요새는 실력차이일 정도라 갈아탈 이유 0 근데 애플 디자인은 예뻐서 돈만 있음 세컨드폰으로 갖고싶긴함,
336,인덕션은 별루지만 퍼플 색감 넘 옙허요 ㅠㅁㅠ,
337,ㅋㅋㅋㅋㅋㅋㅋㅋ,
338,사과는 여전히 중간이네요ㅠㅠㅠ 그래도 나오면 바꿔야징,
339,222,
340,오 귀찮아서 결국 등록 안할 것 같아욬ㅋㅋㅋㅋㅋㅋㅋㅠㅠ,
341,오 예쁘네요,
342,5g여도 자급제로쓰면 4g로 가능해요!!,
343,어... 사양이 참... 하...,
344,12는 언제 나오나요...,
345,엣지... 엣지때문에 강화유리 붙이다가 스피커에 접착액 들어갔어요 ㅋㅋㅋㅋㅋ ㅠㅠㅠㅠㅠㅠ,
346,화면 녹화하면 전화 음성은 안담기던데 이제는 화면 녹화로도 음성 담기나요ㅠㅠㅠ,
347,🤔,
348,유무선 이어폰의 단점만 모아놓은 블투 같은뎈ㅋㅋㅋㅋㅋ,
349,오 숫자 멀랐다 5788편하둔,
350,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이게뭐얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
351,사진 누르면..  사진이 나와요,
352,아이폰으로 갈아탄지 2개월짼데 멀티태스킹 편한 거 인정합니다...,
353,구리다,
354,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
355,민트짱♥️,
356,2.....제발...,
357,444 못버려요 매트블랙 ㅠㅠㅠㅠ,
358,역시 퍼플 ^^,
359,?,
360,세상에 진짜 저런생각을 하눈 사람이 있군요...;,
361,노치 좀 어떻게 안되나...것만 아님 사고싶은데 노치땜에 못생겨서 사기 싫음...ㅠㅠ,
362,화이트 하악,
363,레드최고!!!,
364,음~ 진작에 바꾸길 잘했군요...^^노트20울트라는 그래도 예뻤는데...,
365,세상에 요즘시대에 램3기가라니요.......,
366,여기서 알고있던거 딱 하나.....5번와 저장하고 공부해야겠다..,
367,갤,
368,이러니까 제트플립이 아니라 저거 사고싶어지네...,
369,(내용 없이 첨부한 댓글),
370,카메라가 너무..실ㅇㅎ다..,
371,7 매트 블랙 케이스 벗길 때 마다 마주하고 감탄ㅎ,
372,재발 둘 다ㅜㅠ,
373,ㅇ..아이폰만 그런거였어요..??,
374,사진 누르면 사진이 나오는디요,
375,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ케,
376,👍,
377,엊그저께 찍은 사진입니다!,
378,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
379,왜 자꾸 빼는건데여..,
380,까올 전 좋아요ㅠㅠㅠㅠㅠ 노치 사라지고 디자인은 좀 더 예뻐질거라는 루머가 있던데 버텨봅니다 ㅎㅎ,
381,ㅇㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
382,와 미니 사고 싶다,
383,국내 브랜드 스마트폰은 일본 전파 세기가 센 곳이라도 한국 전파 먼저 잡는다고 나와있어요!,
384,전 아직 스그...,
385,아이폰 문제는 아닌것 같은데요........??,
386,22222 페이는 있어도 안썼어요 제발 녹음 좀....,
387,하 언제 나오지 서고싶다..,
388,무거운 거 빼고는 진짜 너무 좋아요 배터리 너무 오래가서 행복합니다,
389,갤럭시가 짱 ㅎㅎ,
390,익숙하지않고 불편한 부분이 있다해서근데 패드같은거는 아이패드가 더 좋은 것 같아요,
391,아 왜그래 나 갤럭시 쳐돌인데 제발 정신차려 갤럭시 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
392,"그러면 사려는 사람이 적어지지 않나 ,, 원래쓰던사람이야 그냥그냥그런데 아이폰입문하는 사람은 적어질 거 같다",
393,엥,
394,2년이면 칼같이 고장내는 제가 3년 쓰고 X로 이동했습니닿ㅎㅎ,
395,네이비 엄버하다가 폰 잃어버려서 11 사 버렸서요 흑ㅎ으윽흑...,
396,아이고 앱등아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
397,배터리만 아니면 계속 쓰고 싶은데ㅜㅠ 이젠 보내줘야될거같아요 ㅠㅠ,
398,아이폰8로 기다리는 중이에요ㅠㅠ,
399,내가 기다린 se2는 아니네용ㅜㅜ 각지고 조그맣고 두껍고 귀여운 딱 그런 느낌인데 ㅠㅠ,
400,se2 지금 주문하는건 괜찮나요??ㅠㅠ,
401,22,
402,2,
403,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
404,222,
405,고무찰흙같다....,
406,둘 다 괜찮으니까 사진 폴더별로 분리되게 해줘요,
407,전 발열이요...^^,
408,아이폰 되게 어둡게 나오네요,
409,아낰ㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ담빜ㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
410,진짜 잡스 무덤에서 환장하시것네,
411,기필코 갈아타고 만다............. 주변에서 아이폰 미치게 추천해서 반강제로 샀더니.......... 후회막심........ 역시 한국에서는 갤럭시,
412,각진거ㅠㅠ 그리워요ㅠㅠㅠㅠ 제 기준 4가 제일 이쁜거같아여..,
413,어우....,
414,보노 넘 이쁜 공식색...,
415,우오 1위 폰이네용,
416,이거 원글이 뭔지 너무궁금ㅋㅋㅋㅋ,
417,제 폰이네여..내 돈..,
418,되는데욤 ..?!,
419,666,
420,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아,
421,노트 못 잃어....,
422,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ플디가또,
423,와 4개면 카메라 개쩔겠다 사고 싶어요ㅠㅠ,
424,뭔소리여...;,
425,패드로 카메라 찍지도 않는데 도대체 왜(keep your head down) 저러는 건지...,
426,2019 최고의 모순 아닐까요... 유선 블루투스...,
427,1,
428,선생님 제자로 받아주세요...,
429,에어4도 같이 공개되나요??!?!?!?!?,
430,지금 가는 중!,
431,몬소리지,
432,이건 아이폰11 프로...!,
433,퍼플 쓰는데 질리지가 않움,
434,22 6s 스그가 진짜 예쁜데ㅠㅠㅠㅠㅠㅠ,
435,5S!!,
436,앞에 검정 확정 땅땅인가요...ㅠ,
437,111,
438,퍼플쓰고 있는데 진짜 퍼플 부심들정도로 이쁨..,
439,레드가이뿌다,
440,"의외로 옐로우가 인기가 많구나.. 맨날 유튭이나 커뮤에 퍼플이나 화이트, 그린만 보여서 몰랐구만? 옐로우 예쁘다고 생각한 나 칭찬해. 퍼플 샀지만..ㅋㅋㅋㅋ",
441,제목보고 흥얼거리며 들어온 사람~~,
442,못생겼어요..하,
443,하.. 하지만 예쁨과 심플은 포기할 수 없어요..,
444,2222,
445,다 내맘 같진 않더라구요 증거 수집이 최선이에여,
446,네 데이터 안 켜면 긴 문자 수신발신 다 안 돼요 심지어 데이터 켜고 뒤늦게 문자 받으면 시간도 안 떠서 이 문자가 대체 언제 온 건지 알 수도 없는...,
447,유머인거 알지만 저 같아도 자식에게 경영권 주고 싶지 않을거 같아요 돈이 없는것도 아니고 힘든길을 자식에게 물려주고 싶지 않을거 같네용,
448,인트로 장인ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
449,가벼운 게 장점이라 그 외 성능은 기대치를 낮춰서 그런가 발열이 가끔 심하긴 하지만 잘 쓰고 있습니다 제 주변에 무거운 노트북으로 고통받는 동기들 보면... 허허허,
450,요즘은 작은폰 최고ㅠㅠㅠㅠㅠ,
451,22222 ㅜㅜㅜㅜ,
452,이걸 보고 라벤더 신발 옷 죄다 사는중입니다..,
453,각진거ㅠㅠ 그리워요ㅠㅠㅠㅠ 제 기준 4가 제일 이쁜거같아여..,
454,배터리 오래 가나요?,
455,패드 있어서 어차피 그 충전기 쓰긴 하지만... 기본으로 넣어주는 것도 좀 바꿔줘요 ㅜ,
456,11111111111,
457,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
458,33,
459,유선 블루투스 보고 충격 받아서 몇번이고 다시 확인했네요,
460,12에서는 색감 좀 원래대로 했으면 좋겠다..ㅠㅠ,
461,아 ㅠㅠㅠㅠ  저거 진짜 좋아요,
462,배터리가 빨리 닳는건 나의 착각인가..?,
463,Xs 나와 오래 함께하자,
464,색은 원래 괜찮았죠 저 버블티 저게 문제였쥐,
465,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역대급,
466,전 텐에스에서 안바꿀거에요 좋아요ㅠㅠ,
467,와,
468,너무 튼튼해서 12로 바꿔도되나 고민중,
469,ㄷ띄어쓰기하고 지우고ㄷ 한 번 더 쓰신다는건가용???,
470,설마 노치랑 베젤을 없앨리가........... 없애면 바로 삼,
471,밑에 부분이 보호가 안되어서 못쓰겠어요ㅠㅠ가죽케이스 쓰시는분들 핸드폰 떨궈도 괜찮던가요?,
472,맨날 이어폰 써서 몰랐다..,
473,저는 가벼운거에 너무 만족해서 잘 쓰는 중이에욤 근데 스피커가 중요하신 분들은 정말... 피하셔야합니다.........,
474,퍼플 화이트 진짜 예뻐,
475,맥스라서 고민되네요ㅜㅜ 텐에스면 바로 사는건데,
476,11퍼플 이틀째 예뿝니다^^,
477,⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ,
478,1,
479,Alook이요,
480,터치 아이디 넣어주시고 노치 버려 주세요...,
481,보통 전송버튼이 ㅔ 위에 있어서 그래요,
482,마트에 장조림이나 깻잎 파는 납작한 통조림캔이 저런식으로 생겼어요 테두리가 둥그스름한 직사각형 모양이요,
483,그리고 프로모드로 사진찍으면 진짜 넘 좋아요 ㅇㅇㅇㅇㅇ,
484,추가로 본문에 올렸는데 갤럭시 S21도 유출됐어요!,
485,카메라...색...왜 그래...진짜......왜 인덕션 포기못해..? why..?? 색은 또 어ㅐ그래..????? 요즘 왜그래...??????,
486,11사고 싶어요..,
487,사이드 유광 ...케이스 안 씌우면 계속 지문 닦고 있어야 겠더라구요 ㅠ,
488,ㅋㅋㅋ앜ㅋㅋㅋㅋㅋ그런것같아요폰이폰ㅋㅌㅋ,
489,아.... 가격이 연예인들은 쓸거같아요.. 저라면 히익..!!뭔 케이스가 16만원이나 하지?이런 생각부터 들거 같네요ㅋㅋㅋㅋ,
490,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
491,아 제발 따라하지 마,
492,작은거 좋아ㅠㅠ 프로 무거워서 손목아파요,
493,이거면 저 12  안합니다 ... 넘 영롱해 당장 사러 갈거얌,
494,8이에여 12기다리는 중입니다......조금만 더 힘내자 휴대폰아,
495,달러환율로 결제되는거랑 음악파일 바로 다운 못받는게 제일 불편해요 근데 갤럭시로 돌아가자니 엣지때문에 폰 박살났던거 생각나서 그러지도 못하겠는..,
496,1은 어차피 모바일 앱카드 쓰고있어서 필요없구 통화녹음좀 ㅠ ㅠ ㅠ,
497,"ㅌㅋㅋㅋㅋㅋㅋ카메라가 이렇게 하나씩 늘어나다가는 정말 버블티가 되어 버리겠네요,,,",
498,오 이쁘다 전 갠적으로 8.. 투명 로즈골드..,
499,블랙이 젤 이뻤는데ㅠ ㅠㅠㅠㅠㅠㅠ,
500,지금 가는 중!,
501,2,
502,레드 알러뷰,
503,5s... 내 인생 최고의폰...,
504,제주변엔 6s 쓰는사람 저밖에 없는데..여기엔 동지가 참 많군요😭😭👏🏻,
505,저도 주세영,
506,텐에스도 저래서 갈아타려고요 빛번짐도 심해요ㅠㅠㅠ,
507,이썰 나올때는 아마 자급제폰이 없던 시절일..껄요...?,
508,"전 무엇보다 카메라 위치요,,^^ 비대면하면서 힘들었어요ㅠㅠ 스피커도 별로에 소리가 너무 작아서 무조건 이어폰 필수입니다,,",
509,"결국 갤럭시로 넘어온 지금 갤럭시랑 아이폰을 비교해보면 아이폰 - 안되는게 너무 많음, 그대신 가진것을 완벽하게, 갤럭시 - 다 됨. 그대신 가진게 1%씩 부족함 이런느낌이에요 그래서 전 갤럭시에 만족히면서 씁니당,,",
510,1.. 갤럭시 쓸때도 통화녹음 안씀...,
511,후면은 아이폰 전면은 갤럭시가 취향... 후면 아이폰의 그 갬성..잊지못해씁니다,
512,😮,
513,이런 공구사이트 통해서 공구하는거 안전한가요ㅠㅠ??,
514,👍,
515,난레드샀징,
516,솔직히 이제 삼성-> 애플이나 애플-> 삼성 갈아타는 사람들 많이 안보여서 획기적인 정책같아요!!!,
517,실물을 보면 난 또 호로록 감기겠지...,
518,...?네?,
519,화이트 최고 아직도 못 받았지만 ^ㅡㅠ,
520,화이트ㄴㅇㄴ😎,
521,인트로맛집ㅋㅋㅋㅋㅋㅋㅋ,
522,보라가 제일 이쁜것같네요ㅠ,
523,지금 가는 중!,
524,ㅈㄱㅈ,
525,사 알못은 이것만 봐선 울트라가 거의 압승인것 같....,
526,4ㄹㅇ..,
527,제 얘기네욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
528,헐 핑크 너무 예뻐 미쳐,
529,옐로 넘 예뻐요 ㅠㅠ,
530,🤣,
531,아이폰은 안되구남..,
532,"유플러스 제발,,,",
533,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
534,발열이랑 스피커ㅠㅠ,
535,헉 저대로 나오면 딥블루 갑니다,
536,(본인이 직접 삭제한 댓글입니다),
537,모팸 생각하고 왔찌요~~~~,
538,갤럭시... 첫 폰 아이폰이었는데 그 이후로는 계속 노트만 쓰고 있어요 노트펜 있는거랑 실생활에 유용한 기능이 많아서 좋아용  엣지도 불호 많던데 저는 좋아해요,
539,갤럭시,
540,개인적으로 아이폰보다는 갤럭시가 더 사용하기 편하더라구요,
541,언제 출시될까요...약정 7월초에 끝나는디...,
542,저 아직 6s 써요 배터리 한번 갈긴 했지만 쓰는데 문제가 없어요,
543,4.....누가 훔쳐가서...흑흑,
544,주작이에요??? 아 저 방법을 믿는 사람은 없겠지 이뜻인가요!!,
545,건전짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
546,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ케 이거 그래가지구 웃다가 사레 들린 거처럼 보여요,
547,se오래가자ㅜㅜㅜ 너무 예뻐요ㅠㅠ 4년째 안질립니다ㅜㅜㅜㅜㅜ,
548,2222 저두요,
549,헐 프로도 알고싶어요,
550,🎉,
551,7 매트블랙 예뻐서 안 바꾸는 중...,
552,22222,
553,22222,
554,탈모가 사라졋군여,
555,7 매트 블랙 케이스 벗길 때 마다 마주하고 감탄ㅎ,
556,앨범에 추가 있어영,
557,222!!!지갑을 좋아해서...,
558,삼성은 더 아닌거같... 그램이 발열 심하다는데 삼성이랑 비교하느니 그램이 더 좋,
559,"와 골드 ,,",
560,사진몇장 구글저장인데.. 빼놔야지,
561,진짜 애플이 디자인이랑 색상뽑는거 하나는... 넘사벽,
562,이래도 어차피 아이폰 쓸 사람은 다 쓰니까요,
563,베젤... 너무 못생겨 보입니다 ㅠㅠ,
564,저는 2년반 쓰니까 화면은 나오는데 터치가 안되서 어쩔수없이 다른폰으로 바꿨는데....ㅜㅜ고쳐서 다시 쓰려고요 솔직히 배터리 금방 없어지는거빼고는 만족스러워서 고장날때까지 써야지 이 말 하자마자 고장나버려서 딴거로 바꿨는데 고쳐서 다시 쓰려고욬ㅋㅋㅋㅋ,
565,-111,
566,와 예쁘다... 폰이 멀쩡했으면 12 했을텐데 고장나는 바람에 11사버렸는데,
567,헉 어떻게하는건가요,
568,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ케,
569,램차이 불편하죠 앱 리프레쉬가 많아요,
570,저거 없어도 안드로이드 10으로 업뎃하면 가능해욘,
571,아이폰 너무 어려워요,
572,돈 그만큼 깎으면 ㅇㅈ...,
573,예쁘다ㅜ,
574,어두워지면 화면 오른쪽 아랫부분이 분홍빛 띄는거요!,
575,시월드 당한게 많으시군여ㅜ,
576,선을 그어 주든가에게,
577,화이트 사랑해,
578,제발 카메라만 정상적으로 해주세여 ㅠㅠ 이러다가 앞은 액정이고 뒷면은 다 카메라 되겠네,
579,여러분 자급제에서 알뜰폰 요금제 쓰세요.. 정말 절약돼요,
580,폰 충전하면서 노래 들으려고 블투 이어폰 샀는데 폰 배터리 오히려 가져다 써버리네ㅋㅋㅋㅋㅋ,
581,사진 폴더도 물론 만들 수 있구요,
582,와 실행취소 짱신기하다....,
583,애플은 회사가 싫어요. 그래서 애증의 삼성폰 씁니다ㅜㅜ,
584,암생각없이 얼마전에 폰바꾸러갔다가 11 걍 검정으로 달랬는데 검정이 없어가지구 그 매장은 화이트 남은 거 있대서 화이트 샀는데 화이트가 훠너어어어ㅓㄹㄹ 예뻐여ㅠㅠㅡㅠㅠㅠㅍㅍㅍ,
585,제발 네모로 나와주세요,
586,SE 아닌가여?,
587,텐에스... 버팁니다...,
588,"카메라 다 가리는 케이스 뭐 위아래로 밀거나 해서 오픈하고 닫을 수 있는 거 나오면 그거 껴서 써야겠어요,,,내놓고 다니기엔 너무 못생겼다",
589,진짜...카메라...ㅋㅋ....제발 애플좀 따라하지말고 너만의 디자인을 가라고.............,
590,그램 3년 썼는데 소리 들을 일이 별로 없어서 스피커 안 좋은 거 첨 알았네용..그래두 가벼워서 짱짱,
591,"아니요ㅋㅋㅋㅋ!! 제가 자주 떨어뜨려서.... 무서워서 범퍼랑 젤리만 끼고 다니는 거예요,,, ᅲᅲ",
592,헉 편해서 사고 싶었는데...,
593,한국에서 젤 잘팔리는줄알았는데..,
594,"저능 1이요,,,",
595,진짠가요..?,
596,이거 진짜 재미있게 봤어요!!ㅠㅠㅠㅠ,
597,저화이트요!! 화이트 진짜 케이스 아무거나 껴도 잘어울리고 진짜 실물 갑이에요,
598,"근데 대학 다니면서 문서 과제하기는 정말 편합니다 특히 도서관, 기숙사 그 외 여기저기 옮겨다니면서 가져다니실 많으면 너무 추천드려요 무거운 노트북 들고다니는 거 생각보다 정말 에바입니다... 아 근데 설명하고 보니 비대면이네요...^^",
599,14는 6갠가,
600,ㅎㅎㅎㅎㅎㅎ홓홓ㅎㅎㅎ호,
